date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Wind (Curtailment) -  GWh,Solar (Utility) (Curtailment) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
1999-10-01,0.00,-7.80,4453.80,8045.23,0.00,5.88,340.94,230.82,166.73,0.00,0.00,0.00,495.77,0.00,0.00,0.00,0.00,0.00,5708594.42,7425855.92,0.00,6166.93,193933.23,157391.22,140479.34,0.00,0.00,992.79,17.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-11-01,0.00,-11.95,4399.99,7827.70,0.00,3.06,312.70,213.81,148.14,0.00,0.00,0.00,516.82,0.00,0.00,0.00,0.00,0.00,5602883.37,7229685.91,0.00,3214.40,176894.70,142455.18,123572.55,0.00,0.00,990.19,16.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-12-01,0.00,-30.10,4537.54,8037.80,0.00,0.82,318.71,225.19,168.22,0.00,0.00,0.00,505.70,0.00,0.00,0.00,0.00,0.00,5794801.80,7447181.53,0.00,867.41,182230.79,152564.62,138344.72,0.00,0.00,996.52,23.33,0.00,592217.85,84346331.34,191559210.44,0.00,36984.11,12798754.66,6708285.37,5597533.21,0.00,0.00,0.00,10475807.98,0.00,0.00,0.00
2000-01-01,0.00,-35.84,3990.80,8387.16,0.00,16.10,519.58,226.97,257.34,0.00,0.00,0.00,524.30,0.00,0.00,0.00,0.00,0.00,5070011.79,7782823.63,0.00,16897.73,292988.27,152528.82,213855.53,0.00,0.00,974.27,58.55,0.00,11153737.38,133267807.41,557385252.81,0.00,11328630.88,23855461.32,13492288.43,29976087.23,0.00,0.00,0.00,31602686.50,0.00,0.00,0.00
2000-02-01,0.00,-51.94,4115.88,8154.24,0.00,5.53,665.11,212.95,292.17,0.00,0.00,0.00,683.53,0.00,0.00,0.00,0.00,0.00,5248649.47,7538754.78,0.00,5824.83,375236.56,140687.26,237262.27,0.00,0.00,962.28,55.38,0.00,1643935.82,263931968.48,346366534.57,0.00,2077614.19,80737750.73,18214056.81,22724500.84,0.00,0.00,0.00,47942704.81,0.00,0.00,0.00
2000-03-01,0.00,-63.57,4642.27,8528.57,0.00,22.93,376.44,214.50,229.03,0.00,0.00,0.00,638.94,0.00,0.00,0.00,0.00,0.00,5925033.93,7908664.20,0.00,24071.60,214467.64,137233.38,185479.39,0.00,0.00,986.69,47.34,0.00,4967116.40,186487282.71,381768028.63,0.00,3187469.37,47336117.23,14045899.17,20674307.78,0.00,0.00,0.00,31388719.47,0.00,0.00,0.00
2000-04-01,0.00,-32.45,4376.48,7864.18,0.00,3.94,209.70,210.68,156.49,0.00,0.00,0.00,464.87,0.00,0.00,0.00,0.00,0.00,5574203.97,7269700.55,0.00,4133.77,120564.35,126522.79,126350.19,0.00,0.00,997.55,32.30,0.00,1274284.55,113959849.63,253194653.49,0.00,514570.84,10406004.48,7435310.35,7013229.36,0.00,0.00,0.00,13499861.62,0.00,0.00,0.00
2000-05-01,0.00,-37.58,4464.37,8859.69,0.00,2.00,433.18,223.61,163.47,0.00,0.00,0.00,509.32,0.00,0.00,0.00,0.00,0.00,5727942.44,8211731.61,0.00,2097.51,243706.76,133655.83,126475.16,0.00,0.00,988.20,58.62,0.00,1433543.33,232181200.44,498402438.50,0.00,1780094.74,31771916.48,13233215.90,15835179.99,0.00,0.00,0.00,45532538.20,0.00,0.00,0.00
2000-06-01,0.00,-65.64,4146.30,9245.77,0.00,6.50,651.30,223.59,205.91,0.00,0.00,0.00,633.52,0.00,0.00,0.00,0.00,0.00,5373928.61,8545816.36,0.00,6762.07,365923.91,130150.34,153937.24,0.00,0.00,968.72,45.73,0.00,1936737.02,183666073.39,390370355.13,0.00,882908.17,38619534.24,12040885.55,12423327.44,0.00,0.00,0.00,35464499.64,0.00,0.00,0.00
2000-07-01,0.00,-95.91,4418.42,9524.90,0.00,4.64,356.92,230.16,193.72,0.00,0.00,0.00,727.66,0.00,0.00,0.00,0.00,0.00,5682236.74,8800743.32,0.00,4873.67,205320.59,132827.71,143681.37,0.00,0.00,974.56,52.36,0.00,3538104.92,213479746.45,480807441.74,0.00,661274.23,22624148.38,12674257.56,14401106.29,0.00,0.00,0.00,38540955.40,0.00,0.00,0.00
